,Model_iteration,Feature_set,MAPE,R2,ADJR2
 model_6.pkl,6,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.55', 'discount_raw']",0.086326846,0.698929963,0.682655907
 model_7.pkl,7,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.55', 'discount_final']",0.086326846,0.698929963,0.682655907
model_14.pkl,14,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.5', 'discount_raw']",0.086299966,0.699546347,0.683305609
model_15.pkl,15,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.5', 'discount_final']",0.086299966,0.699546347,0.683305609
model_30.pkl,30,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.55', 'discount_raw']",0.086326846,0.698929963,0.682655907
model_31.pkl,31,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.55', 'discount_final']",0.086326846,0.698929963,0.682655907
model_38.pkl,38,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.5', 'discount_raw']",0.086299966,0.699546347,0.683305609
model_39.pkl,39,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.5', 'discount_final']",0.086299966,0.699546347,0.683305609
model_54.pkl,54,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.55', 'discount_raw']",0.086811056,0.695359781,0.678892742
model_55.pkl,55,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.55', 'discount_final']",0.086811056,0.695359781,0.678892742
model_62.pkl,62,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.5', 'discount_raw']",0.086784606,0.696017438,0.679585949
model_63.pkl,63,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.5', 'discount_final']",0.086784606,0.696017438,0.679585949
model_78.pkl,78,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.55', 'discount_raw']",0.086811056,0.695359781,0.678892742
model_79.pkl,79,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.55', 'discount_final']",0.086811056,0.695359781,0.678892742
model_86.pkl,86,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.5', 'discount_raw']",0.086784606,0.696017438,0.679585949
model_87.pkl,87,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.5', 'discount_final']",0.086784606,0.696017438,0.679585949
 model_6.pkl,6,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.55', 'discount_raw']",0.086326846,0.698929963,0.682655907
 model_7.pkl,7,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.55', 'discount_final']",0.086326846,0.698929963,0.682655907
model_14.pkl,14,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.5', 'discount_raw']",0.086299966,0.699546347,0.683305609
model_15.pkl,15,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_impressions_lag2_adst0.5', 'discount_final']",0.086299966,0.699546347,0.683305609
model_30.pkl,30,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.55', 'discount_raw']",0.086326846,0.698929963,0.682655907
model_31.pkl,31,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.55', 'discount_final']",0.086326846,0.698929963,0.682655907
model_38.pkl,38,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.5', 'discount_raw']",0.086299966,0.699546347,0.683305609
model_39.pkl,39,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.25', 'tv_spends_lag2_adst0.5', 'discount_final']",0.086299966,0.699546347,0.683305609
model_54.pkl,54,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.55', 'discount_raw']",0.086811056,0.695359781,0.678892742
model_55.pkl,55,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.55', 'discount_final']",0.086811056,0.695359781,0.678892742
model_62.pkl,62,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.5', 'discount_raw']",0.086784606,0.696017438,0.679585949
model_63.pkl,63,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_impressions_lag2_adst0.5', 'discount_final']",0.086784606,0.696017438,0.679585949
model_78.pkl,78,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.55', 'discount_raw']",0.086811056,0.695359781,0.678892742
model_79.pkl,79,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.55', 'discount_final']",0.086811056,0.695359781,0.678892742
model_86.pkl,86,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.5', 'discount_raw']",0.086784606,0.696017438,0.679585949
model_87.pkl,87,"['online_edu_trend', 'covid_cases', 'unemployment_rate', 'streaming_impressions_lag2_adst0.55', 'digital_impressions_adst0.55', 'search_clicks_adst0.3', 'tv_spends_lag2_adst0.5', 'discount_final']",0.086784606,0.696017438,0.679585949
